Class,Sample_num
Annual Crops (e.g wheat),7760
Annual Crops (e.g wheat),7761
Shrubs,7779
Natural Grassland,7789
Annual Crops (e.g wheat),7798
Annual Crops (e.g wheat),7806
Annual Crops (e.g wheat),7810
Annual Crops (e.g wheat),7812
Annual Crops (e.g wheat),7820
Annual Crops (e.g wheat),7827
Natural Grassland,7835
Annual Crops (e.g wheat),7854
Annual Crops (e.g wheat),7874
Natural Grassland,7881
Natural Wooded Land,7882
#N/A,7883
Shrubs,7884
Shrubs,7886
#N/A,7915
Shrubs,7921
Annual Crops (e.g wheat),7923
Annual Crops (e.g wheat),7932
Natural Grassland,7947
"Permanent Crops (e.g., vineyard)",7954
"Permanent Crops (e.g., vineyard)",7955
Built-up,7958
Built-up,7961
Built-up,7964
Built-up,7966
Built-up,7968
Built-up,7971
Natural Wooded Land,7974
Annual Crops (e.g wheat),7978
Natural Wooded Land,7979
Natural Wooded Land,7980
Natural Wooded Land,7981
Natural Wooded Land,7982
"Consolidated Barren (rocks, salt pans)",7983
Natural Grassland,7984
Waterbodies,7987
"Consolidated Barren (rocks, salt pans)",8005
"Consolidated Barren (rocks, salt pans)",8018
Natural Grassland,8084
Natural Grassland,8095
Natural Wooded Land,8096
Natural Wooded Land,8097
Natural Wooded Land,8098
"Permanent Crops (e.g., vineyard)",8101
"Permanent Crops (e.g., vineyard)",8102
Waterbodies,8103
Waterbodies,8105
Waterbodies,8118
Waterbodies,8123
Waterbodies,8125
Waterbodies,8129
Waterbodies,8130
Waterbodies,8134
Waterbodies,8136
Waterbodies,8137
Waterbodies,8139
Unconsolidated Barren,8141
Waterbodies,8142
Built-up,8147
Built-up,8148
Built-up,8149
Annual Crops (e.g wheat),8150
Annual Crops (e.g wheat),8151
"Permanent Crops (e.g., vineyard)",8152
"Permanent Crops (e.g., vineyard)",8153
#N/A,8154
#N/A,8155
Shrubs,8156
Shrubs,8161
#N/A,8162
Annual Crops (e.g wheat),8166
Annual Crops (e.g wheat),8175
"Consolidated Barren (rocks, salt pans)",8185
"Consolidated Barren (rocks, salt pans)",8186
"Consolidated Barren (rocks, salt pans)",8187
Mixed or Not Classified,8188
Natural Wooded Land,8191
Built-up,8195
Built-up,8201
Built-up,8202
Built-up,8206
Built-up,8212
Built-up,8214
Waterbodies,8220
Shrubs,8222
Planted Forest,8227
Shrubs,8228
Annual Crops (e.g wheat),8230
Natural Wooded Land,8232
Mixed or Not Classified,8233
Natural Wooded Land,8234
Unconsolidated Barren,8235
Built-up,8236
Natural Grassland,8237
#N/A,8248
Shrubs,8249
#N/A,8251
#N/A,8252
"Consolidated Barren (rocks, salt pans)",8253
Built-up,8264
Built-up,8265
Built-up,8270
Built-up,8271
Waterbodies,8273
Built-up,8276
Built-up,8277
Built-up,8278
Built-up,8280
Built-up,8281
Built-up,8282
Built-up,8283
Built-up,8285
Built-up,8286
Built-up,8288
Built-up,8289
Built-up,8290
Built-up,8292
Mixed or Not Classified,8301
Shrubs,8302
Shrubs,8303
"Consolidated Barren (rocks, salt pans)",8304
"Consolidated Barren (rocks, salt pans)",8305
"Consolidated Barren (rocks, salt pans)",8306
Annual Crops (e.g wheat),8318
Annual Crops (e.g wheat),8345
Annual Crops (e.g wheat),8346
Annual Crops (e.g wheat),8348
Shrubs,8353
Annual Crops (e.g wheat),8354
Annual Crops (e.g wheat),8356
Annual Crops (e.g wheat),8363
Mixed or Not Classified,8376
Mixed or Not Classified,8377
Annual Crops (e.g wheat),8378
Annual Crops (e.g wheat),8381
Annual Crops (e.g wheat),8386
Annual Crops (e.g wheat),8388
Annual Crops (e.g wheat),8391
Annual Crops (e.g wheat),8398
Annual Crops (e.g wheat),8399
"Consolidated Barren (rocks, salt pans)",8404
"Consolidated Barren (rocks, salt pans)",8405
"Permanent Crops (e.g., vineyard)",8406
"Permanent Crops (e.g., vineyard)",8407
Annual Crops (e.g wheat),8411
Annual Crops (e.g wheat),8421
Annual Crops (e.g wheat),8424
Annual Crops (e.g wheat),8427
Annual Crops (e.g wheat),8430
Annual Crops (e.g wheat),8432
Annual Crops (e.g wheat),8440
#N/A,8450
#N/A,8451
Annual Crops (e.g wheat),8456
Annual Crops (e.g wheat),8457
Planted Forest,8460
Shrubs,8461
Annual Crops (e.g wheat),8464
Annual Crops (e.g wheat),8466
Annual Crops (e.g wheat),8467
Annual Crops (e.g wheat),8471
Annual Crops (e.g wheat),8473
Annual Crops (e.g wheat),8478
Annual Crops (e.g wheat),8479
Shrubs,8483
Annual Crops (e.g wheat),8487
Annual Crops (e.g wheat),8490
Annual Crops (e.g wheat),8491
Annual Crops (e.g wheat),8492
Annual Crops (e.g wheat),8493
"Permanent Crops (e.g., vineyard)",8495
"Permanent Crops (e.g., vineyard)",8496
"Permanent Crops (e.g., vineyard)",8497
Annual Crops (e.g wheat),8500
Annual Crops (e.g wheat),8503
Natural Grassland,8506
Unconsolidated Barren,8507
#N/A,8508
Annual Crops (e.g wheat),8517
Annual Crops (e.g wheat),8518
Natural Grassland,8520
Natural Grassland,8521
Annual Crops (e.g wheat),8522
Annual Crops (e.g wheat),8523
Annual Crops (e.g wheat),8524
Annual Crops (e.g wheat),8527
Annual Crops (e.g wheat),8528
Shrubs,8534
Natural Wooded Land,8535
Built-up,8538
Built-up,8539
Built-up,8540
Waterbodies,8541
Waterbodies,8543
Waterbodies,8551
Waterbodies,8552
Waterbodies,8559
Waterbodies,8562
Waterbodies,8568
Waterbodies,8571
Waterbodies,8572
Waterbodies,8574
Waterbodies,8576
Waterbodies,8582
Waterbodies,8586
Waterbodies,8602
Waterbodies,8603
Waterbodies,8605
Waterbodies,8609
Waterbodies,8618
Waterbodies,8626
Waterbodies,8629
Waterbodies,8630
Waterbodies,8635
Waterbodies,8636
Built-up,8637
Built-up,8638
Built-up,8639
Built-up,8640
Shrubs,8641
Natural Wooded Land,8642
Waterbodies,8646
Waterbodies,8649
Waterbodies,8650
Waterbodies,8652
Waterbodies,8653
Shrubs,8659
Shrubs,8663
#N/A,8689
Shrubs,8690
"Consolidated Barren (rocks, salt pans)",8728
Shrubs,8741
"Consolidated Barren (rocks, salt pans)",8764
Shrubs,8766
Shrubs,8773
#N/A,8774
#N/A,8782
"Consolidated Barren (rocks, salt pans)",8783
"Consolidated Barren (rocks, salt pans)",8796
Natural Grassland,8825
Shrubs,8838
Shrubs,8874
Shrubs,8875
"Consolidated Barren (rocks, salt pans)",8888
Shrubs,8908
"Consolidated Barren (rocks, salt pans)",8910
Shrubs,8929
Mixed or Not Classified,8932
Natural Wooded Land,8953
Shrubs,8963
"Consolidated Barren (rocks, salt pans)",8978
Shrubs,9020
#N/A,9034
#N/A,9036
"Consolidated Barren (rocks, salt pans)",9038
Shrubs,9060
"Consolidated Barren (rocks, salt pans)",9066
Shrubs,9100
Shrubs,9105
"Consolidated Barren (rocks, salt pans)",9109
Shrubs,9118
Natural Grassland,9121
Shrubs,9135
"Consolidated Barren (rocks, salt pans)",9177
Natural Grassland,9179
Shrubs,9186
Natural Wooded Land,9191
Shrubs,9213
Shrubs,9224
"Consolidated Barren (rocks, salt pans)",9245
Shrubs,9257
Natural Grassland,9315
"Consolidated Barren (rocks, salt pans)",9320
"Consolidated Barren (rocks, salt pans)",9325
"Consolidated Barren (rocks, salt pans)",9346
Mixed or Not Classified,9347
Shrubs,9349
Shrubs,9350
Shrubs,9352
"Consolidated Barren (rocks, salt pans)",9369
Shrubs,9377
Natural Grassland,9387
"Consolidated Barren (rocks, salt pans)",9390
"Consolidated Barren (rocks, salt pans)",9391
"Consolidated Barren (rocks, salt pans)",9398
"Consolidated Barren (rocks, salt pans)",9410
Natural Grassland,9418
Natural Grassland,9442
Shrubs,9449
"Consolidated Barren (rocks, salt pans)",9456
"Consolidated Barren (rocks, salt pans)",9468
Shrubs,9486
"Consolidated Barren (rocks, salt pans)",9505
Natural Grassland,9510
Natural Wooded Land,9511
Shrubs,9517
Natural Grassland,9525
Built-up,9529
Natural Wooded Land,9530
Built-up,9531
Mixed or Not Classified,9533
Shrubs,9534
"Consolidated Barren (rocks, salt pans)",9536
"Consolidated Barren (rocks, salt pans)",9538
Shrubs,9545
Shrubs,9547
Shrubs,9559
Shrubs,9568
Natural Wooded Land,9569
Shrubs,9572
"Consolidated Barren (rocks, salt pans)",9573
"Consolidated Barren (rocks, salt pans)",9574
"Consolidated Barren (rocks, salt pans)",9576
#N/A,9583
Natural Grassland,9590
Natural Grassland,9600
Shrubs,9601
Mixed or Not Classified,9607
#N/A,9610
Natural Grassland,9616
Shrubs,9619
"Consolidated Barren (rocks, salt pans)",9620
Shrubs,9625
Waterbodies,9649
Waterbodies,9666
Waterbodies,9680
Waterbodies,9699
Waterbodies,9700
Waterbodies,9701
Waterbodies,9710
Waterbodies,9717
Waterbodies,9724
Waterbodies,9750
Waterbodies,9772
Waterbodies,9776
Waterbodies,9804
Waterbodies,9831
Waterbodies,9835
Waterbodies,9893
Waterbodies,9909
Waterbodies,9917
Waterbodies,9928
Waterbodies,9967
Waterbodies,9972
Waterbodies,9996
Waterbodies,10046
Waterbodies,10095
Waterbodies,10104
Waterbodies,10141
Waterbodies,10163
Waterbodies,10171
Waterbodies,10208
Waterbodies,10223
Waterbodies,10240
Waterbodies,10241
Built-up,10244
Built-up,10245
Mixed or Not Classified,10246
Mixed or Not Classified,10263
Shrubs,10267
Shrubs,10288
Shrubs,10290
Shrubs,10350
Natural Wooded Land,10356
Natural Wooded Land,10357
Waterbodies,10358
Waterbodies,10360
Waterbodies,10361
Waterbodies,10362
Waterbodies,10365
Waterbodies,10366
Waterbodies,10368
Waterbodies,10370
Waterbodies,10371
Waterbodies,10372
Waterbodies,10376
Waterbodies,10378
Waterbodies,10380
Waterbodies,10382
Waterbodies,10385
Waterbodies,10386
Waterbodies,10387
Waterbodies,10388
Waterbodies,10390
Waterbodies,10391
Waterbodies,10392
Waterbodies,10393
Waterbodies,10398
Waterbodies,10410
Waterbodies,10426
Waterbodies,10434
Annual Crops (e.g wheat),10438
Annual Crops (e.g wheat),10439
Annual Crops (e.g wheat),10441
Mixed or Not Classified,10445
Shrubs,10457
Natural Wooded Land,10465
Shrubs,10466
Shrubs,10475
Natural Grassland,10494
Natural Wooded Land,10500
Shrubs,10509
Natural Wooded Land,10519
Shrubs,10522
Shrubs,10538
#N/A,10560
Shrubs,10601
Natural Grassland,10615
Natural Grassland,10617
Shrubs,10621
Shrubs,10625
Natural Grassland,10644
Waterbodies,10653
Waterbodies,10654
Waterbodies,10655
Waterbodies,10658
Shrubs,10660
Natural Wooded Land,10661
Natural Wooded Land,10662
Natural Wooded Land,10663
Waterbodies,10668
Waterbodies,10669
Waterbodies,10672
Waterbodies,10673
Waterbodies,10676
Waterbodies,10680
Waterbodies,10682
Waterbodies,10684
Waterbodies,10687
Waterbodies,10688
Waterbodies,10691
Waterbodies,10693
Waterbodies,10695
Waterbodies,10697
Waterbodies,10699
Waterbodies,10700
Waterbodies,10701
Waterbodies,10703
Waterbodies,10704
Waterbodies,10706
Waterbodies,10707
Waterbodies,10708
Waterbodies,10711
Waterbodies,10712
Unconsolidated Barren,10714
Unconsolidated Barren,10715
Unconsolidated Barren,10716
Unconsolidated Barren,10717
Unconsolidated Barren,10718
Unconsolidated Barren,10719
Unconsolidated Barren,10720
Unconsolidated Barren,10721
Unconsolidated Barren,10722
Unconsolidated Barren,10723
Unconsolidated Barren,10724
Unconsolidated Barren,10725
Unconsolidated Barren,10726
Unconsolidated Barren,10727
"Consolidated Barren (rocks, salt pans)",10751
Shrubs,10754
"Consolidated Barren (rocks, salt pans)",10759
Natural Wooded Land,10775
"Consolidated Barren (rocks, salt pans)",10781
"Consolidated Barren (rocks, salt pans)",10790
Natural Wooded Land,10792
Natural Grassland,10801
"Consolidated Barren (rocks, salt pans)",10834
"Consolidated Barren (rocks, salt pans)",10846
Natural Wooded Land,10871
Natural Wooded Land,10876
Natural Wooded Land,10879
Unconsolidated Barren,10883
Shrubs,10884
Shrubs,10890
Natural Wooded Land,10891
Shrubs,10892
Natural Wooded Land,10893
Shrubs,10894
Shrubs,10895
Natural Wooded Land,10896
Shrubs,10897
Natural Wooded Land,10898
Natural Wooded Land,10899
Shrubs,10900
Shrubs,10925
Shrubs,10933
Shrubs,10949
Built-up,10954
Built-up,10955
Shrubs,10962
Annual Crops (e.g wheat),10974
Annual Crops (e.g wheat),10975
Natural Wooded Land,10977
Shrubs,10978
Natural Wooded Land,10979
Natural Wooded Land,10980
Natural Wooded Land,10981
Natural Wooded Land,10982
Shrubs,10983
Annual Crops (e.g wheat),10985
Natural Wooded Land,10987
Natural Wooded Land,10988
Shrubs,10992
Natural Grassland,10999
Annual Crops (e.g wheat),11004
Annual Crops (e.g wheat),11009
Built-up,11029
Built-up,11030
Shrubs,11037
Shrubs,11038
Annual Crops (e.g wheat),11039
Shrubs,11040
Natural Wooded Land,11041
Shrubs,11042
Annual Crops (e.g wheat),11048
Natural Wooded Land,11059
Shrubs,11060
Natural Wooded Land,11061
Natural Wooded Land,11062
Natural Grassland,11063
Annual Crops (e.g wheat),11072
Natural Grassland,11075
Built-up,11079
Built-up,11080
Annual Crops (e.g wheat),11082
Wetlands,11086
Natural Grassland,11087
Shrubs,11088
Annual Crops (e.g wheat),11089
Annual Crops (e.g wheat),11090
Annual Crops (e.g wheat),11102
Natural Grassland,11103
Shrubs,11105
Shrubs,11106
Annual Crops (e.g wheat),11107
"Consolidated Barren (rocks, salt pans)",11121
Shrubs,11122
Annual Crops (e.g wheat),11146
Shrubs,11149
Shrubs,11161
Annual Crops (e.g wheat),11166
Annual Crops (e.g wheat),11187
Natural Grassland,11189
Annual Crops (e.g wheat),11196
Annual Crops (e.g wheat),11197
Annual Crops (e.g wheat),11198
Annual Crops (e.g wheat),11210
Annual Crops (e.g wheat),11212
Annual Crops (e.g wheat),11217
Annual Crops (e.g wheat),11220
Natural Grassland,11222
Annual Crops (e.g wheat),11230
Annual Crops (e.g wheat),11236
Shrubs,11238
Shrubs,11239
Annual Crops (e.g wheat),11241
Wetlands,11252
Shrubs,11253
Shrubs,11254
Wetlands,11258
Wetlands,11261
Waterbodies,11269
Waterbodies,11321
Waterbodies,11332
Waterbodies,11339
Waterbodies,11354
Waterbodies,11385
Waterbodies,11404
Waterbodies,11410
Waterbodies,11414
Waterbodies,11416
Waterbodies,11418
Waterbodies,11428
Waterbodies,11430
Waterbodies,11441
Waterbodies,11445
Waterbodies,11459
Waterbodies,11471
Waterbodies,11485
Waterbodies,11489
Waterbodies,11498
Waterbodies,11503
Waterbodies,11508
Waterbodies,11517
Waterbodies,11573
Waterbodies,11579
Waterbodies,11583
Waterbodies,11591
Waterbodies,11600
Waterbodies,11606
Waterbodies,11609
Waterbodies,11610
Waterbodies,11611
Waterbodies,11627
Shrubs,11631
Shrubs,11632
Unconsolidated Barren,11633
Unconsolidated Barren,11634
Unconsolidated Barren,11635
Shrubs,11636
Built-up,11637
Built-up,11638
Built-up,11639
Waterbodies,11658
Waterbodies,11665
Unconsolidated Barren,11682
Unconsolidated Barren,11683
Unconsolidated Barren,11684
Unconsolidated Barren,11685
Shrubs,11698
Shrubs,11704
Natural Grassland,11717
Shrubs,11730
Unconsolidated Barren,11757
Shrubs,11760
Shrubs,11762
Shrubs,11764
Shrubs,11782
Shrubs,11800
Natural Grassland,11812
Shrubs,11816
Shrubs,11828
Natural Wooded Land,11832
Shrubs,11836
Natural Wooded Land,11846
Shrubs,11893
Shrubs,11900
Shrubs,11929
Unconsolidated Barren,11943
Shrubs,11950
Shrubs,11990
Waterbodies,11998
Waterbodies,12008
Waterbodies,12031
Waterbodies,12037
Waterbodies,12048
Waterbodies,12092
Waterbodies,12108
Waterbodies,12116
Waterbodies,12128
